2025-01-30 11:16:36,082 - INFO - Starting Telegram Scraper
2025-01-30 11:16:36,087 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2025-01-30 11:16:40,105 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2025-01-30 11:16:51,709 - INFO - Phone migrated to 4
2025-01-30 11:16:51,834 - INFO - Reconnecting to new data center 4
2025-01-30 11:16:51,976 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2025-01-30 11:16:51,977 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2025-01-30 11:16:51,978 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2025-01-30 11:16:53,584 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2025-01-30 11:19:39,735 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:19:42,768 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:19:43,402 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:19:54,247 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:20:20,112 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:20:25,871 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:20:41,049 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:20:58,145 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:21:03,891 - INFO - Scraped 100 messages from DoctorsET
2025-01-30 11:21:03,899 - ERROR - Error scraping Chemed Telegram Channel: Cannot find any entity corresponding to "Chemed Telegram Channel"
2025-01-30 11:21:05,659 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:21:09,745 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:21:18,644 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:21:22,997 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:21:26,956 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:21:52,048 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:21:55,786 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:21,866 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:22,470 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:23,111 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:23,743 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:23,990 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:24,887 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:25,691 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:26,811 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:28,366 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:28,985 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:30,223 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:31,558 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:32,129 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:33,052 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:34,840 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:35,322 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:35,734 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:36,395 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:36,916 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:37,397 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:37,798 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:39,156 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:40,776 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 11:22:42,462 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
